CustomerID,ProductID,Quantity,Price,TransactionDate,PaymentMethod,StoreLocation,ProductCategory,DiscountApplied(%),TotalAmount
109318,C,7,80.07984415,12/26/2023 12:32,Cash,176 Andrew Cliffs Baileyfort; HI 93354,Books,18.6770995,455.8627638
993229,C,4,75.19522942,8/5/2023 0:00,Cash,11635 William Well Suite 809 East Kara; MT 19483,Home Decor,14.12136502,258.3065464
579675,A,8,31.52881648,3/11/2024 18:51,Cash,910 Mendez Ville Suite 909 Port Lauraland; MO 99563,Books,15.94370066,212.0156509
799826,D,5,98.88021828,10/27/2023 22:00,PayPal,87522 Sharon Corners Suite 500 Lake Tammy; MO 76234,Books,6.68633678,461.3437694
121413,A,7,93.18851246,12/22/2023 11:38,Cash,0070 Michelle Island Suite 143 Holand; VA 80142,Electronics,4.030095691,626.0304837
463050,D,3,54.09315249,8/15/2023 4:24,Cash,8492 Jonathan Drive North Robertshire; TN 67532,Electronics,10.88876836,144.6092233
888163,D,7,13.12193739,12/26/2023 5:32,PayPal,USNV Harrell FPO AA 62814,Clothing,16.29512671,76.88590745
843385,A,8,56.02516419,10/11/2023 6:48,Debit Card,489 Juan Loop Apt. 093 North Brettville; WV 72610,Home Decor,6.344305684,419.7660521
839609,B,5,23.85798105,2/27/2024 11:13,Credit Card,528 Justin Expressway Apt. 336 Cabreraborough; SD 17915,Electronics,18.70399725,96.97792465
184135,D,4,63.3427768,11/5/2023 1:46,Debit Card,189 Wright Mews Martinfurt; MO 75932,Books,7.640606649,234.0120175
266491,C,8,98.79272609,9/25/2023 4:38,Debit Card,388 Matthew Lane Apt. 592 West Andreachester; IN 96537,Books,14.17495322,678.3112271
65632,D,8,78.12314235,12/29/2023 5:07,PayPal,PSC 1498; Box 4142 APO AP 10928,Electronics,14.70431078,533.0853817
26863,B,3,39.003285,12/27/2023 15:34,Credit Card,623 William Track Apt. 920 Port Dave; NE 02045,Electronics,14.3684358,100.1973691
632732,D,6,45.47433964,2/8/2024 8:03,Cash,5370 Nichols Fork Suite 983 Georgeshire; MT 20848,Books,10.57461814,243.9936112
798425,D,5,95.01176197,10/27/2023 17:50,Cash,1573 Petty Parkway Apt. 835 Jordanmouth; IN 05999,Clothing,16.24839531,397.8693765
780621,B,2,19.91484964,9/23/2023 18:51,Cash,419 Kerr Passage Apt. 443 Martinezfort; MN 45678,Clothing,14.46467762,34.06846168
633299,D,8,90.11467295,2/28/2024 21:34,Credit Card,1250 Gary Way Apt. 756 South Thomasport; ND 39813,Clothing,15.17441385,611.5223964
271379,D,6,16.70799791,2/1/2024 2:35,PayPal,73061 Larry Pass Apt. 190 Fischerstad; PW 81056,Clothing,18.3335909,81.86893153
246231,B,2,47.31868527,4/28/2024 21:20,Credit Card,103 Noah Court Apt. 298 South Caseymouth; FM 01144,Electronics,6.904600086,88.10303858
818911,B,5,77.09057502,4/6/2024 18:59,Credit Card,44623 Elizabeth Throughway Apt. 440 Amberview; VA 51707,Books,19.25257426,311.2432741
35935,B,1,45.55602032,1/21/2024 21:44,Credit Card,9990 Frank Views Davisstad; MS 73745,Home Decor,18.39618315,37.17545138
274967,D,6,61.40081305,4/24/2024 12:16,Credit Card,12858 Kidd Roads Cantuberg; AR 21025,Books,15.43425899,311.5443153
175504,C,9,54.17017953,11/28/2023 21:59,Cash,90868 Garcia Bypass Apt. 888 New Joshua; WY 53394,Books,11.00572372,433.8752331
589752,A,1,64.4179452,10/22/2023 23:46,Debit Card,78412 Hernandez Lock Suite 138 South Lauren; PA 69595,Clothing,0.111047537,64.34641065
86522,B,3,25.38440527,8/2/2023 11:16,Debit Card,5446 Brooke Row Apt. 988 West Mary; OH 86664,Clothing,15.14174264,64.62229185
609241,A,7,62.02823758,6/12/2023 7:02,PayPal,Unit 7268 Box 3644 DPO AP 43969,Clothing,18.38875557,354.3541161
869542,A,4,98.85379367,3/24/2024 15:55,Cash,750 Alyssa Junctions Suite 666 Port Richard; NV 18166,Home Decor,8.930830423,360.101316
418277,A,9,27.45019354,11/29/2023 11:40,Credit Card,71524 Margaret Dam North Rhondaborough; VA 49112,Clothing,4.398935343,236.1840955
284956,B,3,16.02541232,3/17/2024 10:12,PayPal,942 Howell Island Bowenfurt; NJ 02752,Home Decor,14.79229223,40.96465951
237711,D,5,45.26114439,5/3/2023 16:18,Credit Card,44122 Jones Radial Suite 913 Scottshire; IN 05723,Books,12.03191072,199.0768195
47999,D,3,43.69259776,3/12/2024 18:31,PayPal,257 Martin Falls Whitakerborough; SC 38376,Home Decor,19.97503164,104.8949626
43807,C,7,21.31634724,9/25/2023 8:00,Debit Card,4565 Wright Land North Daniel; IA 65963,Home Decor,3.594113899,143.8514941
628270,A,5,61.43280267,6/4/2023 0:37,Debit Card,6472 Jones Courts Apt. 861 West Dawnport; KS 09150,Books,6.323547799,287.7403501
550741,D,9,49.3833028,10/3/2023 13:19,Cash,4314 Thomas Walk Daleshire; IL 52627,Clothing,17.0641798,368.608025
101274,D,7,85.31977157,12/16/2023 23:10,Credit Card,70323 Stacey Underpass Suite 300 Bishopberg; IL 77977,Books,13.2077957,518.3563731
140471,B,2,48.06615492,6/20/2023 16:12,Credit Card,21894 Raymond Ports North Gabriela; WA 85466,Electronics,16.51721833,80.25392634
635224,B,4,98.70968076,12/23/2023 10:49,PayPal,13996 Peter Mountain Apt. 674 Craigport; FM 62580,Books,13.84911501,340.1570542
2398,C,9,80.18639604,4/20/2024 11:19,Credit Card,49823 Robin Rue Leonardchester; VT 82863,Electronics,4.456275585,689.5176233
857878,C,2,53.87055008,1/15/2024 19:14,Debit Card,265 Williams Passage North Andrew; GU 20893,Books,12.07332915,94.73316251
939765,B,9,59.69753447,7/9/2023 5:55,Debit Card,763 Castro Greens Suite 106 Lake Katrina; OK 64411,Books,18.77811951,436.3871409
11882,D,5,88.00755476,5/28/2023 7:45,Debit Card,711 Megan Garden Apt. 572 Nathanview; ND 02023,Electronics,13.07468591,382.504217
147124,C,2,79.67386347,5/25/2023 10:49,Cash,USNS David FPO AE 12953,Clothing,12.91378242,138.7699082
895908,B,4,69.19620564,10/8/2023 19:08,Debit Card,53378 Lauren Union Suite 356 Mullinsborough; MP 94292,Electronics,16.51074194,231.0855948
589251,A,7,34.01289338,12/13/2023 3:37,PayPal,991 Dennis Overpass Suite 417 South Julie; VA 10018,Clothing,14.11085151,204.4936915
608105,B,8,46.93122876,10/24/2023 3:23,Cash,55336 Meagan Loaf Martinstad; NH 88472,Home Decor,16.11718005,314.9379049
800568,D,3,80.84663037,3/25/2024 14:42,Credit Card,6238 Scott Fork Suite 235 North Andrewmouth; MD 44878,Electronics,5.868724608,228.3058928
985370,A,1,66.47187502,12/19/2023 21:54,PayPal,602 Smith Plains Port Jacquelinechester; DC 13268,Electronics,10.5145845,59.48263356
240172,B,4,96.08493944,12/27/2023 5:26,PayPal,8369 Gentry Tunnel Suite 510 East Edwardstad; RI 25668,Clothing,17.4431825,317.2986724
232632,D,2,88.55958357,8/12/2023 2:00,Credit Card,3811 William Station Suite 818 Garciafort; OH 36967,Home Decor,12.84060049,154.3760025
138129,B,8,48.43840968,1/6/2024 3:16,Cash,2059 Moore Station Clarkehaven; WI 88632,Clothing,6.596179738,361.9466009
201514,B,4,36.44356796,6/16/2023 14:07,Cash,0894 Leonard Cliff North Ellenstad; MN 82818,Books,5.640954187,137.5512119
143001,A,2,21.16617709,6/26/2023 9:23,PayPal,31207 Johnson Crest Georgeland; WV 31249,Home Decor,15.30872409,35.85181088
391352,D,6,46.6865179,5/8/2023 0:15,Cash,5091 Sullivan Mountains Joshuaside; FM 03816,Home Decor,13.83077927,241.376452
94047,A,6,30.40141062,3/29/2024 18:32,Cash,9919 Smith Island Apt. 355 Peterview; OK 37147,Electronics,9.811217151,164.5119732
182358,C,4,11.50353148,11/27/2023 10:44,Credit Card,00172 Tamara Lake Woodsville; TX 24419,Books,3.970779906,44.18700627
91439,D,6,22.43927871,4/26/2024 13:07,PayPal,18886 Kara Brooks Apt. 597 East Kellyfort; WV 95330,Electronics,5.872273942,126.7294968
370994,D,2,50.77103606,10/1/2023 9:48,Credit Card,728 Richard Flats Janeport; WV 96023,Clothing,17.63195806,83.63821655
194267,C,2,90.31749132,5/20/2023 13:23,PayPal,46843 Christina Points Apt. 345 Snyderhaven; ME 39116,Clothing,6.837288023,168.2844486
597183,D,4,38.88635212,5/19/2023 19:02,Cash,60674 Robles Overpass Jonfort; DC 58160,Clothing,10.30417712,139.5177341
173860,D,8,49.70081448,8/24/2023 3:49,Cash,91529 Cody Mills Suite 147 Churchmouth; FL 72882,Clothing,6.426451838,372.0545246
667324,A,7,44.56655375,3/15/2024 13:29,PayPal,1347 Chang Rue Suite 808 Kennethmouth; AL 49384,Electronics,15.72327504,262.9146235
74054,A,9,43.20773421,4/16/2024 5:10,Debit Card,454 Mendoza Springs Suite 108 Davidtown; FL 92203,Home Decor,3.940537885,373.5460537
766020,B,8,75.03749694,9/7/2023 17:20,PayPal,68293 Ryan Station Martinchester; OH 22553,Home Decor,16.61582338,500.5551919
301389,A,5,55.54281545,3/31/2024 20:19,Debit Card,15068 Regina Isle Ariasshire; AZ 83493,Electronics,9.025839192,252.6480512
604511,D,2,46.75985559,10/24/2023 21:15,Credit Card,56928 Patricia Mountains West Andrea; OH 00781,Books,8.785967794,85.30309947
107408,D,5,94.89902096,4/24/2024 17:03,Cash,67679 Chen Rapids Apt. 359 Williamchester; AS 53803,Books,18.44927581,386.9541942
62783,C,8,34.86587311,7/1/2023 22:17,Credit Card,98846 Joe Hills Suite 859 Nelsonside; MS 19302,Electronics,4.863213028,265.3621714
937640,C,9,84.95648436,10/6/2023 8:15,Credit Card,55894 Linda Courts Apt. 063 Stevenbury; MA 20451,Home Decor,15.53718329,645.809757
116855,B,9,56.35052523,12/24/2023 22:56,Cash,6918 Ashley Walks West Jean; MN 95503,Electronics,19.3004819,409.2714208
775212,D,1,49.7519958,2/25/2024 8:51,Debit Card,005 Faulkner Walk Matthewhaven; NC 85743,Books,19.15562133,40.22169188
624973,D,9,15.66692134,11/22/2023 2:05,PayPal,47515 Grimes Grove Apt. 919 East James; GA 19407,Electronics,14.96717317,119.8982348
210377,A,7,87.26431386,3/2/2024 22:56,Debit Card,Unit 4486 Box 3431 DPO AE 41617,Books,5.36747935,578.0629389
73098,C,9,34.35962323,1/2/2024 16:43,Cash,696 Cruz Highway Suite 922 Amberview; MN 52354,Electronics,17.90654433,253.8630186
600510,B,8,71.14204196,9/29/2023 10:47,Cash,28132 Wolfe Bypass West Russellberg; MI 13911,Electronics,8.220374972,522.3511948
120603,A,1,88.70304269,3/3/2024 22:13,Credit Card,04736 Nicholas Islands Suite 795 Jamesland; IN 70189,Clothing,7.700165198,81.87276186
449129,B,8,58.25233549,11/7/2023 10:54,Debit Card,3011 Smith Island Suite 451 East Philliphaven; WY 63813,Clothing,7.809105877,429.6267915
300948,B,8,67.66009434,11/15/2023 0:21,Debit Card,67274 Mendez Curve Hawkinsfurt; NY 02451,Home Decor,1.213184505,534.7140205
268031,C,3,40.61638711,12/1/2023 17:31,PayPal,172 Christopher Route North Christyside; MO 24531,Electronics,7.121015695,113.1722634
70530,C,1,75.38851452,6/8/2023 19:38,PayPal,PSC 8454; Box 4823 APO AE 17356,Books,18.43627657,61.48967949
