CustomerID,ProductID,Quantity,Price,TransactionDate,PaymentMethod,StoreLocation,ProductCategory,DiscountApplied(%),TotalAmount
971223,A,5,49.29698124,11/21/2023 9:31,Cash,PSC 0630; Box 8447 APO AP 30330,Home Decor,12.5336173,215.5914313
893743,B,3,47.77067198,12/5/2023 16:18,Cash,8803 Sims Square West Marcside; AZ 42572,Home Decor,5.950793911,134.7838132
638812,D,2,53.7551377,7/22/2023 6:06,Debit Card,05377 Dickerson Vista North Paulfurt; UT 86529,Clothing,8.315380798,98.57038661
318761,A,3,73.04683471,4/8/2024 0:17,Debit Card,48045 Barry Extensions Apt. 718 Adamchester; KY 19957,Clothing,1.223282853,216.4597959
156827,C,8,42.851813,5/15/2023 4:24,Credit Card,56121 Pierce Radial East Makayla; HI 25884,Home Decor,17.60526526,282.4611012
841332,B,6,47.89384686,2/25/2024 17:04,PayPal,PSC 4268; Box 6371 APO AP 89598,Books,17.78064222,236.2680798
469299,A,7,77.15064847,11/25/2023 16:59,Credit Card,699 Jones Cape Suite 162 Connorland; AK 68493,Home Decor,12.68361316,471.5561106
391126,A,6,51.50771107,2/2/2024 2:07,PayPal,080 Glenn View Tracyview; MD 75182,Books,3.221517735,299.0902861
898159,A,6,74.22151479,9/13/2023 7:12,Credit Card,89577 Nathan Lake Apt. 651 Andersonstad; AR 97566,Clothing,10.58596924,398.1866884
740215,D,3,96.59957718,4/10/2024 6:07,Cash,85709 Jon Common Lisaborough; MP 53811,Clothing,3.705176628,279.0611767
179833,B,8,96.62726222,6/3/2023 10:39,PayPal,817 Christopher View Apt. 101 Mathiston; MT 83026,Books,14.6200105,660.0027708
256248,A,7,50.23058198,4/8/2024 6:17,Credit Card,477 Juan Forge South Stephanie; HI 85614,Electronics,17.5248823,289.9941213
277997,A,7,31.0799386,4/25/2024 23:36,Credit Card,20185 Laura Mount Jacobhaven; AR 98277,Home Decor,7.768951305,200.6574732
4779,C,6,32.61094096,9/18/2023 1:03,PayPal,2070 Johnson Course Apt. 363 West Rebecca; NY 72917,Home Decor,2.970546049,189.8533077
57051,C,5,83.7299773,10/27/2023 21:48,Debit Card,88616 Collins Tunnel Theresaview; RI 67435,Clothing,19.93657516,335.1854372
